Fake_Index,True_Index,Similarity
3,9817,0.5829357170725442
3,5254,0.5276379824591249
3,1256,0.522316926530571
10,8572,0.3673382051974364
10,15999,0.33094699090840707
10,948,0.3229990422771084
15,7662,0.31686476838355077
15,11246,0.30391052629284565
18,3474,0.3470521047412157
20,10682,0.3124009871205684
20,14674,0.30981943311784477
21,15992,0.5232028144747908
21,3623,0.5161831926291434
21,4195,0.5143268680532544
23,15977,0.5622218680975635
23,6964,0.375991983272316
23,12664,0.35213750907803365
26,15261,0.4903140064708213
26,4772,0.38051148888402303
26,7743,0.37414399502778656
33,13421,0.3180389665966883
39,8240,0.3156690015459342
41,5221,0.5406072590007088
41,4910,0.5212088242708561
41,2592,0.48987918472348263
43,15717,0.3625287179424034
43,9392,0.35319729124610333
43,15938,0.34944609608098554
46,15697,0.3540516941319852
46,16022,0.3480593980056419
46,12828,0.32362540953701474
47,4684,0.35034711818265485
47,8358,0.30108795084181894
50,10851,0.6503589729480402
50,6403,0.6334593827243441
50,8512,0.5300159079092234
57,12100,0.43164817177570286
57,5877,0.4205152480594939
57,2484,0.39928326736240743
70,8941,0.4444565662851457
70,3580,0.4282254500833967
70,13541,0.42822283691677615
72,9382,0.5042968029489848
72,13786,0.4904663673560309
72,15985,0.3841806483892771
75,13170,0.5678137696741614
75,14755,0.33697685446368
81,14880,0.33570950447095743
85,615,0.6601587076640532
85,13864,0.6469161042166132
85,980,0.6441048177745735
87,11120,0.35580580097459036
87,1531,0.344626619659807
99,15261,0.4301697845289133
99,7743,0.4011692944116191
99,4772,0.3349934743463851
102,8244,0.4843959085182152
102,7498,0.4802276309466502
102,9818,0.47211822900709133
103,12626,0.42150094946035804
103,8904,0.42101614444051316
103,9401,0.39364245874855414
104,2528,0.42767486640766444
104,16035,0.4107865351867651
104,9942,0.39548631545144924
106,14743,0.575739183745388
106,15614,0.5660742536817482
106,11249,0.42814732291650026
107,15155,0.4458202702447265
107,14515,0.39761610593496993
107,2576,0.3789732613377482
109,13079,0.39523134814516353
109,3745,0.31834418814476745
109,12281,0.30299774906500776
112,13289,0.33695401099238387
120,3841,0.4060485409958221
120,14078,0.32805532094457845
133,3737,0.31754181401001047
133,13751,0.30175376166715817
137,1453,0.31738599637461423
140,5267,0.6311355819860635
140,521,0.5965100313684604
140,9744,0.5892396788595555
142,4858,0.5004868423221775
142,6043,0.49153017102457985
142,2589,0.4719552039274396
143,4684,0.3414943291929162
149,3474,0.3525254821323061
149,6397,0.31939880198862936
149,9289,0.3184909599883515
150,6818,0.3661713746838735
150,5970,0.3381689881953338
150,13131,0.3045976231206184
151,13635,0.35878790341210565
152,10237,0.4208688349880984
152,7844,0.3753987591256129
152,4484,0.3722147160724575
153,16088,0.4152422208653758
153,4275,0.38768151900639336
153,7111,0.36379015676033366
154,2180,0.5780221113227912
154,726,0.5583781852604921
154,13766,0.5067359314020438
155,9968,0.34372571561457704
155,6659,0.33206685471450237
155,8754,0.32992681875524965
157,11940,0.40624183987485424
157,11332,0.36589848202437075
157,14749,0.33066684959854414
160,10844,0.35033305989202695
160,13363,0.310377612125453
160,4512,0.30158781766493653
169,7962,0.38113876707623284
169,11054,0.349449116461964
169,15449,0.33158596958714914
174,9837,0.3477979405558554
174,5897,0.3335178631291814
174,633,0.33076117229820184
177,15508,0.6005417736299484
177,13572,0.38954687347874833
177,9993,0.3641030943574553
178,13475,0.5415911501804667
178,4365,0.5245143589307995
178,9569,0.5073343240688216
182,4858,0.4918986920711292
182,2589,0.4842123254630451
182,6043,0.4688569275963744
184,9984,0.44128451253372547
188,14189,0.428579154888224
188,4043,0.3652329638159511
188,13444,0.30311188314993115
190,11457,0.45745681840238733
193,2751,0.4068292136109511
193,11089,0.38892278517772283
193,8594,0.37807436785490545
195,2207,0.5192123851830917
195,9032,0.49265237803983297
195,9224,0.4375059039290562
199,10131,0.3410770715495729
200,11659,0.3682486526313148
200,15888,0.3414378345775174
200,13586,0.33097592395360764
202,14139,0.3122569955997839
208,12086,0.4695760325519324
208,9744,0.4525274007616622
208,5267,0.44988972181049647
209,13471,0.30658605400633443
212,9289,0.49803308966109067
212,5188,0.49678663696740827
212,1074,0.46929681940382345
216,4684,0.303137608983897
217,458,0.45908817931158574
217,13278,0.4225773056726099
217,4913,0.40810886839483673
221,4732,0.32363428393933924
223,1203,0.45776263164105024
223,4858,0.4539213950350357
223,15768,0.42817799216962715
226,15977,0.4419255786438367
226,6964,0.3418060272283387
226,12664,0.32261771899073804
229,13079,0.5807674754527974
229,3745,0.540049528337862
229,3088,0.4670051796060876
230,15092,0.5082924546987787
230,12624,0.41382361155762515
230,15932,0.3855560324386048
232,7574,0.4528972986437958
232,2677,0.44040841348801374
232,3454,0.43760758325442645
233,8698,0.3710051890974847
233,11120,0.3485673206210577
233,2200,0.33719051350021945
246,5805,0.37669004571311515
246,7463,0.31400889129736287
246,4974,0.3089399047105081
248,1443,0.32535346190205156
249,11804,0.3881547184381359
249,3555,0.37298326048924973
249,6664,0.3537184392798505
250,9822,0.3973224935327815
250,350,0.3964357062450974
250,2760,0.36907573603882915
251,3041,0.31037040303214264
251,4838,0.3091262618316907
261,6707,0.4485627435031488
261,8131,0.32656011340187685
265,11021,0.5074608639464148
265,3718,0.3238811953301221
267,9040,0.4375607118703564
267,16249,0.36960590431934115
267,10393,0.3458570754169445
268,5805,0.4328065275878659
268,3699,0.3506766958144774
268,7463,0.34651197518571125
269,15977,0.4819986761969572
269,6964,0.31294228797090184
271,14569,0.39090626773272097
274,453,0.3310116250594318
274,13293,0.3184358501049589
274,13880,0.30509481665869115
276,1900,0.4540510435598875
276,859,0.4448358592327665
276,7583,0.42754961460138236
277,13445,0.5166264690613922
277,572,0.5068529965898747
277,9963,0.3456036548343778
278,1074,0.5647879110742317
278,5188,0.553564339624601
278,857,0.5357305377216321
282,1051,0.3741021166767459
282,1565,0.3410915581641109
282,6372,0.33188298392693116
284,10629,0.3237005302513755
285,10625,0.3495893120341423
285,12715,0.3464229840607278
285,11734,0.3387810985895818
288,1074,0.40422427767677965
288,1637,0.39889550513994304
288,5188,0.3971129528333565
289,3685,0.6014625300794906
289,4072,0.46423066470564034
289,12818,0.37582439478778734
294,7962,0.6183079550512534
294,11054,0.5439749900971229
294,2796,0.4853347782580544
297,4645,0.41476148638343385
297,15429,0.3851397547413266
297,10082,0.37237503072998757
305,10360,0.3282441852535528
307,7962,0.5525205977103467
307,11054,0.5154971693744128
307,2796,0.4240948970364049
309,13445,0.3817481143053103
309,572,0.3787829337506061
309,5162,0.3336621380502138
319,3191,0.3285498419737469
324,458,0.622849303706452
324,4913,0.5924043606241123
324,13278,0.5680249803994541
328,13445,0.46566291945788446
328,572,0.45892890471036385
328,13936,0.3834716541965015
329,3718,0.3101286461605731
333,2344,0.32235140441218835
341,5655,0.47523066139176884
341,10625,0.4674796523868366
341,11734,0.4502471290723782
343,1515,0.5512739617667193
343,10359,0.5065653912781578
343,16005,0.39033315861516243
345,14661,0.3837990932881274
345,7928,0.3082600930510705
348,1713,0.5156835482119136
348,11760,0.4387321825893868
348,13910,0.4157479461018962
351,14330,0.5344917811849602
351,633,0.5045997051577527
351,10558,0.4900410892284088
352,3851,0.45020142804369206
352,6968,0.4407766481562996
352,5204,0.4304919034838718
353,12894,0.49003205131293787
353,13794,0.47488380169486377
353,366,0.4561259416878246
362,8720,0.3386649514177978
362,2873,0.3294707017156697
368,15863,0.3566499867493985
369,12054,0.37413726479593107
369,11951,0.3444489786165707
369,4202,0.33437579502076825
370,11544,0.3700904911541717
370,14944,0.3406901090733958
370,359,0.3395523088821459
371,9677,0.3328110117812641
371,2779,0.31505925769041493
374,15092,0.5944275170346044
374,572,0.39386719316209673
374,12624,0.3732215752435692
377,10636,0.3879008363527067
377,15652,0.3396834777499752
377,13662,0.3153019681910516
380,5574,0.3656664665809844
382,6696,0.3283592533279644
390,15992,0.49387776455515864
390,15306,0.47492572067873573
390,7165,0.4667379983979249
396,3191,0.3165032043068083
396,8240,0.3047609353024471
399,9139,0.398821300723682
399,12982,0.3853364195201881
399,1571,0.3599922659865479
402,11734,0.39624286026867717
402,10625,0.388511118720773
402,5655,0.33028720711791043
408,6706,0.42846183591599685
408,8605,0.3906020330252239
408,2546,0.3406199366824859
409,11861,0.4651190661016291
409,8350,0.41177699195705336
409,10641,0.39039155421540633
412,12517,0.38661421984737804
412,9188,0.36448582047624495
412,10636,0.36379820990080536
413,15155,0.3482229341513815
413,10674,0.33800523112812686
413,16284,0.3235636123320132
417,4571,0.4176707749822473
417,1044,0.3887371187082915
417,7853,0.3861224711539375
423,3745,0.35552950915980436
423,13079,0.3191607666265959
423,12281,0.30245499602096376
424,7535,0.3083254249479129
426,14584,0.6621171646543007
426,1734,0.5579842253691558
426,10684,0.37254971314288354
428,338,0.46546841611610495
428,14505,0.30503686229042404
432,10641,0.418305535539255
432,8350,0.3740585815640076
432,11861,0.37240248484583116
436,3555,0.45582894611932273
436,4313,0.39906529032351573
436,4960,0.3926741576371376
437,11360,0.4680065774611734
437,10137,0.46571721367473184
437,15580,0.446822366904184
443,8363,0.3243033674052356
443,5428,0.30753961532776525
443,5984,0.305753105813172
446,8188,0.5028544191703557
446,10649,0.44788017814706094
446,2718,0.43845374926225994
452,3474,0.3251538897013965
465,14468,0.5763206912172423
465,2892,0.5512825717020584
465,16227,0.5123700513086162
466,6316,0.48468273992232114
466,14528,0.30491484117200746
467,14275,0.46105617901258394
467,5216,0.4031443423333295
467,6242,0.39615653931886485
470,9239,0.3882461713942057
470,10460,0.3398495690322844
470,10641,0.33493351907929275
474,1570,0.4928619542298224
474,6391,0.49282352104188076
474,10885,0.4866959264805466
477,12541,0.4880095151311126
477,3934,0.4807700786452671
477,1978,0.4584274528541814
480,1074,0.4871335337432169
480,5188,0.479544981789932
480,15717,0.46491795287727605
481,15282,0.34790097955742316
481,11502,0.31333488017378486
482,13278,0.33848192608085925
496,29,0.4172905085837684
496,14618,0.36966278573032224
497,4181,0.5481142365768474
497,14180,0.5429263561721797
497,12033,0.4957180376944756
499,7669,0.4007649455643351
499,6196,0.35430597378804546
499,2203,0.3490314752806397
500,3724,0.42155982968227085
503,13445,0.30538935210515517
505,8754,0.38243880177511497
505,9968,0.36345715767980297
